# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	398103	398543	+	WP_000166663.1	WP_000166663.1		ribosome maturation factor RimP			HELPY_RS02015	441	146	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	398652	400640	-					acs		HELPY_RS02020	1989		old_locus_tag=HELPY_0405
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	398652	400640	-	WP_001175429.1	WP_001175429.1		acetate--CoA ligase	acs		HELPY_RS02020	1989	662	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	400839	401951	+							HELPY_RS02025	1113		old_locus_tag=HELPY_0406
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	400839	401951	+	WP_000908648.1	WP_000908648.1		metallophosphoesterase			HELPY_RS02025	1113	370	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	402292	402963	+					hsrA		HELPY_RS02030	672		old_locus_tag=HELPY_0407
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	402292	402963	+	WP_001264995.1	WP_001264995.1		response regulator-like transcription factor HsrA	hsrA		HELPY_RS02030	672	223	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	403765	404808	-							HELPY_RS02040	1044		old_locus_tag=HELPY_0411
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	403765	404808	-	WP_012777836.1	WP_012777836.1		3',5'-cyclic-nucleotide phosphodiesterase			HELPY_RS02040	1044	347	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	404839	407040	-					flhA		HELPY_RS02045	2202		old_locus_tag=HELPY_0412
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	404839	407040	-	WP_001262925.1	WP_001262925.1		flagellar biosynthesis protein FlhA	flhA		HELPY_RS02045	2202	733	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	407176	407448	+					rpsO		HELPY_RS02050	273		old_locus_tag=HELPY_0413
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	407176	407448	+	WP_001207122.1	WP_001207122.1		30S ribosomal protein S15	rpsO		HELPY_RS02050	273	90	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	407479	408768	+							HELPY_RS02055	1290		old_locus_tag=HELPY_0414
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	407479	408768	+	WP_000910828.1	WP_000910828.1		O-antigen ligase family protein			HELPY_RS02055	1290	429	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	408899	409402	+					aroQ		HELPY_RS02060	504		old_locus_tag=HELPY_0415
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	408899	409402	+	WP_000699284.1	WP_000699284.1		type II 3-dehydroquinate dehydratase	aroQ		HELPY_RS02060	504	167	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	409416	410489	+							HELPY_RS02065	1074		old_locus_tag=HELPY_0416
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	409416	410489	+	WP_000677155.1	WP_000677155.1		aminopeptidase P family protein			HELPY_RS02065	1074	357	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	410489	410977	+					folK		HELPY_RS02070	489		old_locus_tag=HELPY_0417
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	410489	410977	+	WP_041200388.1	WP_041200388.1		2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase	folK		HELPY_RS02070	489	162	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	410974	412344	+					flhF		HELPY_RS02075	1371		old_locus_tag=HELPY_0418
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	410974	412344	+	WP_041200390.1	WP_041200390.1		flagellar biosynthesis protein FlhF	flhF		HELPY_RS02075	1371	456	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	412341	413225	+					ylxH		HELPY_RS02080	885		old_locus_tag=HELPY_0419
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	412341	413225	+	WP_001064482.1	WP_001064482.1		flagellum site-determining protein YlxH	ylxH		HELPY_RS02080	885	294	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	413230	413544	+							HELPY_RS02085	315		old_locus_tag=HELPY_0420
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	413230	413544	+	WP_001265940.1	WP_001265940.1		hypothetical protein			HELPY_RS02085	315	104	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	413522	414289	+							HELPY_RS02090	768		old_locus_tag=HELPY_0421
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	413522	414289	+	WP_000602417.1	WP_000602417.1		RNA polymerase sigma factor FliA			HELPY_RS02090	768	255	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	414282	415346	+					fliM		HELPY_RS02095	1065		old_locus_tag=HELPY_0422
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	414282	415346	+	WP_000763596.1	WP_000763596.1		flagellar motor switch protein FliM	fliM		HELPY_RS02095	1065	354	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	415350	416213	+					fliY		HELPY_RS02100	864		old_locus_tag=HELPY_0423
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	415350	416213	+	WP_001150702.1	WP_001150702.1		flagellar motor switch protein FliY	fliY		HELPY_RS02100	864	287	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	416242	416778	+							HELPY_RS02105	537		old_locus_tag=HELPY_0424
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	416242	416778	+	WP_000963964.1	WP_000963964.1		YhcH/YjgK/YiaL family protein			HELPY_RS02105	537	178	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	416775	417272	+							HELPY_RS02110	498		old_locus_tag=HELPY_0425
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	416775	417272	+	WP_000780289.1	WP_000780289.1		DUF2147 domain-containing protein			HELPY_RS02110	498	165	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	417292	417744	-					fur		HELPY_RS02115	453		old_locus_tag=HELPY_0426
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	417292	417744	-	WP_001253274.1	WP_001253274.1		ferric iron uptake transcriptional regulator	fur		HELPY_RS02115	453	150	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	417904	419079	-							HELPY_RS02120	1176		old_locus_tag=HELPY_0427
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	417904	419079	-	WP_000059565.1	WP_000059565.1		replication-associated recombination protein A			HELPY_RS02120	1176	391	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	419076	419447	-							HELPY_RS02125	372		old_locus_tag=HELPY_0428
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	419076	419447	-	WP_000332997.1	WP_000332997.1		helix-turn-helix transcriptional regulator			HELPY_RS02125	372	123	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	419457	420323	-							HELPY_RS02130	867		old_locus_tag=HELPY_0429
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	419457	420323	-	WP_000045902.1	WP_000045902.1		DnaJ family protein			HELPY_RS02130	867	288	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	420491	421741	+							HELPY_RS02135	1251		old_locus_tag=HELPY_0430
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	420491	421741	+	WP_001199581.1	WP_001199581.1		hypothetical protein			HELPY_RS02135	1251	416	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	421859	422695	-							HELPY_RS02140	837		old_locus_tag=HELPY_0431
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	421859	422695	-	WP_000556217.1	WP_000556217.1		5'-3' exonuclease			HELPY_RS02140	837	278	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	422950	423846	-							HELPY_RS02145	897		old_locus_tag=HELPY_0433
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	422950	423846	-	WP_000697541.1	WP_000697541.1		OriC activity response regulator			HELPY_RS02145	897	298	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	423868	425088	-							HELPY_RS02150	1221		old_locus_tag=HELPY_0434
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	423868	425088	-	WP_000052927.1	WP_000052927.1		bifunctional 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase/2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase			HELPY_RS02150	1221	406	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	425110	426540	-							HELPY_RS02155	1431		old_locus_tag=HELPY_0435
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	425110	426540	-	WP_000976641.1	WP_000976641.1		Do family serine endopeptidase			HELPY_RS02155	1431	476	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	426585	428027	-							HELPY_RS02160	1443		old_locus_tag=HELPY_0436
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	426585	428027	-	WP_000370070.1	WP_000370070.1		amino acid permease			HELPY_RS02160	1443	480	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	428241	428780	-					pgsA		HELPY_RS02165	540		old_locus_tag=HELPY_0437
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	428241	428780	-	WP_012777838.1	WP_012777838.1		CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase	pgsA		HELPY_RS02165	540	179	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	428777	429388	-							HELPY_RS02170	612		old_locus_tag=HELPY_0438
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	428777	429388	-	WP_000789414.1	WP_000789414.1		hypothetical protein			HELPY_RS02170	612	203	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	429398	430186	-							HELPY_RS02175	789		old_locus_tag=HELPY_0439
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	429398	430186	-	WP_001016719.1	WP_001016719.1		enoyl-ACP reductase			HELPY_RS02175	789	262	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	430183	431085	-					dapA		HELPY_RS02180	903		old_locus_tag=HELPY_0440
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	430183	431085	-	WP_001159535.1	WP_001159535.1		4-hydroxy-tetrahydrodipicolinate synthase	dapA		HELPY_RS02180	903	300	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	431100	432434	-							HELPY_RS02185	1335		old_locus_tag=HELPY_0441
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	431100	432434	-	WP_001268767.1	WP_001268767.1		insulinase family protein			HELPY_RS02185	1335	444	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	432431	433486	-							HELPY_RS02190	1056		old_locus_tag=HELPY_0442
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	432431	433486	-	WP_000500058.1	WP_000500058.1		quinone-dependent dihydroorotate dehydrogenase			HELPY_RS02190	1056	351	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	433523	435550	-							HELPY_RS02195	2028		old_locus_tag=HELPY_0443
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	433523	435550	-	WP_001078679.1	WP_001078679.1		RNA degradosome polyphosphate kinase			HELPY_RS02195	2028	675	
gene	tRNA	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	435644	435721	-							HELPY_RS02200	78		old_locus_tag=HELPY_tRNA27
tRNA		GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	435644	435721	-				tRNA-Pro			HELPY_RS02200	78		anticodon=GGG
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	435987	437246	-							HELPY_RS02205	1260		old_locus_tag=HELPY_0444
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	435987	437246	-	WP_000163873.1	WP_000163873.1		restriction endonuclease subunit S			HELPY_RS02205	1260	419	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	437239	438870	-							HELPY_RS02210	1632		old_locus_tag=HELPY_0445
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	437239	438870	-	WP_001133359.1	WP_001133359.1		type I restriction-modification system subunit M			HELPY_RS02210	1632	543	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	438863	441145	-							HELPY_RS02215	2283		old_locus_tag=HELPY_0446
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	438863	441145	-	WP_000458197.1	WP_000458197.1		DEAD/DEAH box helicase family protein			HELPY_RS02215	2283	760	
gene	pseudogene	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	441319	442022	-							HELPY_RS08365	704		pseudo;old_locus_tag=HELPY_0447
CDS	without_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	441319	442022	-				type I restriction endonuclease subunit R			HELPY_RS08365	704		pseudo
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	442070	443965	-							HELPY_RS02220	1896		old_locus_tag=HELPY_0448
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	442070	443965	-	WP_001116276.1	WP_001116276.1		motility associated factor glycosyltransferase family protein			HELPY_RS02220	1896	631	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	443991	444758	-							HELPY_RS02225	768		old_locus_tag=HELPY_0449
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	443991	444758	-	WP_000402730.1	WP_000402730.1		TerB family tellurite resistance protein			HELPY_RS02225	768	255	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	444768	445082	-							HELPY_RS02230	315		old_locus_tag=HELPY_0450
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	444768	445082	-	WP_001861281.1	WP_001861281.1		hypothetical protein			HELPY_RS02230	315	104	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	445084	446571	-							HELPY_RS02235	1488		old_locus_tag=HELPY_0451
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	445084	446571	-	WP_000114698.1	WP_000114698.1		DUF5644 domain-containing protein			HELPY_RS02235	1488	495	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	446583	447071	-							HELPY_RS02240	489		old_locus_tag=HELPY_0452
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	446583	447071	-	WP_001188595.1	WP_001188595.1		hypothetical protein			HELPY_RS02240	489	162	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	447056	448792	-							HELPY_RS02245	1737		old_locus_tag=HELPY_0453
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	447056	448792	-	WP_000662793.1	WP_000662793.1		M3 family oligoendopeptidase			HELPY_RS02245	1737	578	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	448871	450139	-							HELPY_RS02250	1269		old_locus_tag=HELPY_0455
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	448871	450139	-	WP_000431936.1	WP_000431936.1		cation:proton antiporter			HELPY_RS02250	1269	422	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	450266	450484	-							HELPY_RS08545	219		
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	450266	450484	-	WP_079996205.1	WP_079996205.1		hypothetical protein			HELPY_RS08545	219	72	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	450468	451028	-							HELPY_RS02255	561		old_locus_tag=HELPY_0456
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	450468	451028	-	WP_000595776.1	WP_000595776.1		outer membrane beta-barrel protein			HELPY_RS02255	561	186	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	451254	451994	+					modA		HELPY_RS02260	741		old_locus_tag=HELPY_0457
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	451254	451994	+	WP_000798925.1	WP_000798925.1		molybdate ABC transporter substrate-binding protein	modA		HELPY_RS02260	741	246	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	452016	452690	+					modB		HELPY_RS02265	675		old_locus_tag=HELPY_0458
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	452016	452690	+	WP_000349432.1	WP_000349432.1		molybdate ABC transporter permease subunit	modB		HELPY_RS02265	675	224	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	452687	453484	+							HELPY_RS02270	798		old_locus_tag=HELPY_0459
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	452687	453484	+	WP_000588366.1	WP_000588366.1		sulfate/molybdate ABC transporter ATP-binding protein			HELPY_RS02270	798	265	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	453601	454992	-					gltX		HELPY_RS02275	1392		old_locus_tag=HELPY_0460
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	453601	454992	-	WP_000053229.1	WP_000053229.1		glutamate--tRNA ligase	gltX		HELPY_RS02275	1392	463	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	455109	456209	+					hopJ		HELPY_RS02280	1101		old_locus_tag=HELPY_0461
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	455109	456209	+	WP_001160421.1	WP_001160421.1		Hop family outer membrane protein HopJ/HopK	hopJ		HELPY_RS02280	1101	366	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	456218	457855	+							HELPY_RS02285	1638		old_locus_tag=HELPY_0462
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	456218	457855	+	WP_000950391.1	WP_000950391.1		class I SAM-dependent methyltransferase			HELPY_RS02285	1638	545	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	457821	458669	+							HELPY_RS02290	849		old_locus_tag=HELPY_0463
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	457821	458669	+	WP_000557799.1	WP_000557799.1		glycosyltransferase family 9 protein			HELPY_RS02290	849	282	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	458715	460514	+					typA		HELPY_RS02295	1800		old_locus_tag=HELPY_0464
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	458715	460514	+	WP_000790220.1	WP_000790220.1		translational GTPase TypA	typA		HELPY_RS02295	1800	599	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	460518	461564	+							HELPY_RS02300	1047		old_locus_tag=HELPY_0465
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	460518	461564	+	WP_000278719.1	WP_000278719.1		DNA cytosine methyltransferase			HELPY_RS02300	1047	348	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	461566	462318	+							HELPY_RS02305	753		old_locus_tag=HELPY_0466
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	461566	462318	+	WP_000482947.1	WP_000482947.1		hypothetical protein			HELPY_RS02305	753	250	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	462525	463469	-							HELPY_RS02310	945		old_locus_tag=HELPY_0468
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	462525	463469	-	WP_000719596.1	WP_000719596.1		catalase			HELPY_RS02310	945	314	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	463756	465342	+					hofC		HELPY_RS02315	1587		old_locus_tag=HELPY_0469
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	463756	465342	+	WP_000768631.1	WP_000768631.1		outer membrane beta-barrel protein HofC	hofC		HELPY_RS02315	1587	528	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	465429	466826	+					hofD		HELPY_RS02320	1398		old_locus_tag=HELPY_0470
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	465429	466826	+	WP_041200392.1	WP_041200392.1		outer membrane beta-barrel protein HofD	hofD		HELPY_RS02320	1398	465	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	467056	467256	-							HELPY_RS02325	201		
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	467056	467256	-	WP_000135908.1	WP_000135908.1		hypothetical protein			HELPY_RS02325	201	66	
gene	pseudogene	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	467225	468993	+							HELPY_RS02330	1769		partial;pseudo;old_locus_tag=HELPY_0471
CDS	without_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	467225	468993	+				DUF3519 domain-containing protein			HELPY_RS02330	1769		partial;pseudo
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	470089	470820	-							HELPY_RS02335	732		old_locus_tag=HELPY_0474
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	470089	470820	-	WP_000646774.1	WP_000646774.1		NYN domain-containing protein			HELPY_RS02335	732	243	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	470953	471426	+					ruvC		HELPY_RS02340	474		old_locus_tag=HELPY_0475
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	470953	471426	+	WP_001221153.1	WP_001221153.1		crossover junction endodeoxyribonuclease RuvC	ruvC		HELPY_RS02340	474	157	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	471427	473802	-							HELPY_RS02345	2376		old_locus_tag=HELPY_0476
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	471427	473802	-	WP_000479864.1	WP_000479864.1		TonB-dependent receptor			HELPY_RS02345	2376	791	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	474126	475643	+							HELPY_RS02350	1518		old_locus_tag=HELPY_0477
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	474126	475643	+	WP_000247349.1	WP_000247349.1		catalase			HELPY_RS02350	1518	505	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	475788	476663	+							HELPY_RS02355	876		old_locus_tag=HELPY_0478
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	475788	476663	+	WP_000828941.1	WP_000828941.1		twin-arginine translocation signal domain-containing protein			HELPY_RS02355	876	291	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	476748	476963	+							HELPY_RS02360	216		old_locus_tag=HELPY_0479
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	476748	476963	+	WP_001206517.1	WP_001206517.1		hypothetical protein			HELPY_RS02360	216	71	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	477016	477345	-							HELPY_RS02365	330		old_locus_tag=HELPY_0480
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	477016	477345	-	WP_001153427.1	WP_001153427.1		alkylphosphonate utilization protein			HELPY_RS02365	330	109	
gene	pseudogene	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	477615	478432	+							HELPY_RS02370	818		pseudo;old_locus_tag=HELPY_0481
CDS	without_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	477615	478432	+				CDP-diacylglycerol diphosphatase			HELPY_RS02370	818		pseudo
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	478641	480797	+					flgE		HELPY_RS02375	2157		old_locus_tag=HELPY_0482
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	478641	480797	+	WP_000946397.1	WP_000946397.1		flagellar hook protein FlgE	flgE		HELPY_RS02375	2157	718	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	480856	481209	+					hypA		HELPY_RS02380	354		old_locus_tag=HELPY_0483
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	480856	481209	+	WP_000545280.1	WP_000545280.1		hydrogenase/urease nickel incorporation protein HypA	hypA		HELPY_RS02380	354	117	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	481216	481677	+							HELPY_RS02385	462		old_locus_tag=HELPY_0484
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	481216	481677	+	WP_001154821.1	WP_001154821.1		hypothetical protein			HELPY_RS02385	462	153	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	481677	482759	+					lpxB		HELPY_RS02390	1083		old_locus_tag=HELPY_0485
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	481677	482759	+	WP_001142229.1	WP_001142229.1		lipid-A-disaccharide synthase	lpxB		HELPY_RS02390	1083	360	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	482800	483294	+					greA		HELPY_RS02395	495		old_locus_tag=HELPY_0486
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	482800	483294	+	WP_001031337.1	WP_001031337.1		transcription elongation factor GreA	greA		HELPY_RS02395	495	164	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	483284	483721	+					dut		HELPY_RS02400	438		old_locus_tag=HELPY_0487
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	483284	483721	+	WP_000694137.1	WP_000694137.1		dUTP diphosphatase	dut		HELPY_RS02400	438	145	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	483718	484374	+							HELPY_RS02405	657		old_locus_tag=HELPY_0488
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	483718	484374	+	WP_001021865.1	WP_001021865.1		hypothetical protein			HELPY_RS02405	657	218	
